area_code,reference_area,area_type,year,measure_type,value,units
S12000030,Stirling,Local Authority,2007,Ratio,5.2,Percent Of 16 to 19 Year Olds
S12000019,Midlothian,Local Authority,2007,Count,380,16 to 19 Year Olds
S12000033,Aberdeen City,Local Authority,2007,Count,610,16 to 19 Year Olds
S12000023,Orkney Islands,Local Authority,2007,Count,50,16 to 19 Year Olds
S12000027,Shetland Islands,Local Authority,2007,Ratio,5.5,Percent Of 16 to 19 Year Olds
S12000042,Dundee City,Local Authority,2007,Count,760,16 to 19 Year Olds
S12000026,Scottish Borders,Local Authority,2007,Ratio,5.8,Percent Of 16 to 19 Year Olds
S12000028,South Ayrshire,Local Authority,2007,Ratio,8.7,Percent Of 16 to 19 Year Olds
S12000023,Orkney Islands,Local Authority,2007,Ratio,5,Percent Of 16 to 19 Year Olds
S12000021,North Ayrshire,Local Authority,2007,Count,810,16 to 19 Year Olds
S12000021,North Ayrshire,Local Authority,2007,Ratio,11.2,Percent Of 16 to 19 Year Olds
S12000020,Moray,Local Authority,2007,Ratio,7.4,Percent Of 16 to 19 Year Olds
S12000045,East Dunbartonshire,Local Authority,2007,Count,210,16 to 19 Year Olds
S12000040,West Lothian,Local Authority,2007,Count,920,16 to 19 Year Olds
S12000006,Dumfries and Galloway,Local Authority,2007,Ratio,8,Percent Of 16 to 19 Year Olds
S12000018,Inverclyde,Local Authority,2007,Ratio,8.6,Percent Of 16 to 19 Year Olds
S12000017,Highland,Local Authority,2007,Ratio,6.8,Percent Of 16 to 19 Year Olds
S12000014,Falkirk,Local Authority,2007,Ratio,8.4,Percent Of 16 to 19 Year Olds
S12000019,Midlothian,Local Authority,2007,Ratio,8.9,Percent Of 16 to 19 Year Olds
S12000013,Na h-Eileanan Siar,Local Authority,2007,Ratio,5.7,Percent Of 16 to 19 Year Olds
S12000011,East Renfrewshire,Local Authority,2007,Ratio,4.1,Percent Of 16 to 19 Year Olds
S12000034,Aberdeenshire,Local Authority,2007,Count,550,16 to 19 Year Olds
S12000010,East Lothian,Local Authority,2007,Ratio,7.2,Percent Of 16 to 19 Year Olds
S12000018,Inverclyde,Local Authority,2007,Count,370,16 to 19 Year Olds
S12000020,Moray,Local Authority,2007,Count,330,16 to 19 Year Olds
S12000008,East Ayrshire,Local Authority,2007,Ratio,10.4,Percent Of 16 to 19 Year Olds
S12000005,Clackmannanshire,Local Authority,2007,Ratio,10.8,Percent Of 16 to 19 Year Olds
S12000008,East Ayrshire,Local Authority,2007,Count,670,16 to 19 Year Olds
S12000048,Perth and Kinross,Local Authority,2007,Ratio,5.5,Percent Of 16 to 19 Year Olds
S12000013,Na h-Eileanan Siar,Local Authority,2007,Count,70,16 to 19 Year Olds
S12000050,North Lanarkshire,Local Authority,2007,Count,1610,16 to 19 Year Olds
S12000035,Argyll and Bute,Local Authority,2007,Count,340,16 to 19 Year Olds
S12000006,Dumfries and Galloway,Local Authority,2007,Count,550,16 to 19 Year Olds
S12000047,Fife,Local Authority,2007,Ratio,8.6,Percent Of 16 to 19 Year Olds
S12000038,Renfrewshire,Local Authority,2007,Count,780,16 to 19 Year Olds
S12000045,East Dunbartonshire,Local Authority,2007,Ratio,3.8,Percent Of 16 to 19 Year Olds
S12000048,Perth and Kinross,Local Authority,2007,Count,370,16 to 19 Year Olds
S12000038,Renfrewshire,Local Authority,2007,Ratio,9,Percent Of 16 to 19 Year Olds
S12000049,Glasgow City,Local Authority,2007,Count,2900,16 to 19 Year Olds
