area_code,reference_area,area_type,year,area,value,units
S12000017,Highland,Local Authority,2006,Urban Vacant Land,149,Hectares
S12000017,Highland,Local Authority,2012,Urban Vacant Land,82,Hectares
S12000017,Highland,Local Authority,2013,Urban Vacant Land,80,Hectares
S12000017,Highland,Local Authority,2005,Urban Vacant Land,175,Hectares
S12000017,Highland,Local Authority,2014,Urban Vacant Land,74,Hectares
S12000017,Highland,Local Authority,2015,Urban Vacant Land,66,Hectares
S12000017,Highland,Local Authority,2016,Urban Vacant Land,66,Hectares
S12000017,Highland,Local Authority,2016,Derelict Land,1276,Hectares
S12000017,Highland,Local Authority,2002,Derelict Land,977,Hectares
S12000017,Highland,Local Authority,2018,Derelict Land,1276,Hectares
S12000017,Highland,Local Authority,2013,Derelict Land,1302,Hectares
S12000017,Highland,Local Authority,2008,Urban Vacant Land,100,Hectares
S12000017,Highland,Local Authority,2019,Derelict Land,1276,Hectares
S12000017,Highland,Local Authority,2005,Derelict Land,935,Hectares
S12000017,Highland,Local Authority,2012,Derelict Land,1373,Hectares
S12000017,Highland,Local Authority,2015,Derelict Land,1276,Hectares
S12000017,Highland,Local Authority,2018,Urban Vacant Land,66,Hectares
S12000017,Highland,Local Authority,2017,Urban Vacant Land,66,Hectares
S12000017,Highland,Local Authority,2011,Derelict Land,1373,Hectares
S12000017,Highland,Local Authority,2014,Derelict Land,1299,Hectares
S12000017,Highland,Local Authority,2010,Derelict Land,1373,Hectares
S12000017,Highland,Local Authority,2003,Derelict Land,959,Hectares
S12000017,Highland,Local Authority,2007,Derelict Land,1253,Hectares
S12000017,Highland,Local Authority,2008,Derelict Land,1270,Hectares
S12000017,Highland,Local Authority,2017,Derelict Land,1276,Hectares
S12000017,Highland,Local Authority,2019,Urban Vacant Land,66,Hectares
S12000017,Highland,Local Authority,2009,Derelict Land,1303,Hectares
S12000017,Highland,Local Authority,2006,Derelict Land,922,Hectares
S12000017,Highland,Local Authority,2004,Derelict Land,938,Hectares
S12000018,Inverclyde,Local Authority,2013,Urban Vacant Land,123,Hectares
S12000018,Inverclyde,Local Authority,2018,Urban Vacant Land,73,Hectares
S12000018,Inverclyde,Local Authority,2003,Derelict Land,62,Hectares
S12000018,Inverclyde,Local Authority,2005,Derelict Land,63,Hectares
S12000018,Inverclyde,Local Authority,2004,Derelict Land,64,Hectares
S12000018,Inverclyde,Local Authority,2002,Derelict Land,64,Hectares
S12000018,Inverclyde,Local Authority,2009,Urban Vacant Land,98,Hectares
S12000018,Inverclyde,Local Authority,2003,Urban Vacant Land,73,Hectares
