FeatureCode,DateCode,Measurement,Units,Value,Gender,Age,Outcome
S12000039,2011,Count,People,4,Male,40-59 years,Killed Or Seriously Injured
S12000039,2011,Count,People,4,Male,20-39 years,Killed Or Seriously Injured
S12000038,2011,Count,People,12,Male,40-59 years,Killed Or Seriously Injured
S12000020,1996,Count,People,1,Male,60 years and over,Killed Or Seriously Injured
S12000021,1996,Count,People,4,Male,60 years and over,Killed Or Seriously Injured
S12000029,2011,Count,People,13,Male,0-19 years,Killed Or Seriously Injured
S12000029,2011,Count,People,18,Male,40-59 years,Killed Or Seriously Injured
S12000011,1996,Count,People,7,Male,60 years and over,Killed Or Seriously Injured
S12000033,2011,Count,People,13,Male,0-19 years,Killed Or Seriously Injured
S12000010,1996,Count,People,3,Male,60 years and over,Killed Or Seriously Injured
S12000029,2011,Count,People,20,Male,20-39 years,Killed Or Seriously Injured
S12000019,1996,Count,People,4,Male,60 years and over,Killed Or Seriously Injured
S12000035,2011,Count,People,10,Male,20-39 years,Killed Or Seriously Injured
S12000036,2004,Count,People,36,Male,20-39 years,Killed Or Seriously Injured
S12000018,1996,Count,People,6,Male,60 years and over,Killed Or Seriously Injured
S12000030,2011,Count,People,2,Male,0-19 years,Killed Or Seriously Injured
S12000035,2011,Count,People,3,Male,0-19 years,Killed Or Seriously Injured
S12000013,1996,Count,People,0,Male,60 years and over,Killed Or Seriously Injured
S12000027,1996,Count,People,1,Male,60 years and over,Killed Or Seriously Injured
S12000036,2004,Count,People,19,Male,0-19 years,Killed Or Seriously Injured
S12000040,2011,Count,People,8,Male,0-19 years,Killed Or Seriously Injured
S12000026,1996,Count,People,7,Male,60 years and over,Killed Or Seriously Injured
S12000040,2011,Count,People,16,Male,20-39 years,Killed Or Seriously Injured
S12000033,2011,Count,People,27,Male,20-39 years,Killed Or Seriously Injured
S12000030,2011,Count,People,16,Male,40-59 years,Killed Or Seriously Injured
S12000033,2011,Count,People,23,Male,40-59 years,Killed Or Seriously Injured
S12000014,1996,Count,People,8,Male,60 years and over,Killed Or Seriously Injured
S12000040,2011,Count,People,12,Male,40-59 years,Killed Or Seriously Injured
S12000030,2011,Count,People,18,Male,20-39 years,Killed Or Seriously Injured
S12000005,1996,Count,People,3,Male,60 years and over,Killed Or Seriously Injured
S12000028,2011,Count,People,3,Male,0-19 years,Killed Or Seriously Injured
S12000006,1996,Count,People,18,Male,60 years and over,Killed Or Seriously Injured
S12000021,2011,Count,People,7,Male,20-39 years,Killed Or Seriously Injured
S12000008,1996,Count,People,8,Male,60 years and over,Killed Or Seriously Injured
S12000021,2011,Count,People,7,Male,40-59 years,Killed Or Seriously Injured
S12000026,2011,Count,People,14,Male,20-39 years,Killed Or Seriously Injured
S12000034,2004,Count,People,26,Male,40-59 years,Killed Or Seriously Injured
S12000026,2011,Count,People,21,Male,40-59 years,Killed Or Seriously Injured
S12000028,2011,Count,People,10,Male,20-39 years,Killed Or Seriously Injured
S12000034,2004,Count,People,29,Male,0-19 years,Killed Or Seriously Injured
S12000028,2011,Count,People,7,Male,40-59 years,Killed Or Seriously Injured
S12000035,2004,Count,People,13,Male,0-19 years,Killed Or Seriously Injured
S08000032,2012,Count,People,23,Male,40-59 years,Killed Or Seriously Injured
S12000035,2004,Count,People,32,Male,20-39 years,Killed Or Seriously Injured
S12000014,2004,Count,People,11,Male,0-19 years,Killed Or Seriously Injured
S12000014,2004,Count,People,7,Male,40-59 years,Killed Or Seriously Injured
S08000032,2012,Count,People,34,Male,20-39 years,Killed Or Seriously Injured
S12000035,2004,Count,People,23,Male,40-59 years,Killed Or Seriously Injured
S12000026,2011,Count,People,5,Male,0-19 years,Killed Or Seriously Injured
S12000021,2011,Count,People,9,Male,0-19 years,Killed Or Seriously Injured
S12000023,2011,Count,People,1,Male,40-59 years,Killed Or Seriously Injured
S12000023,2011,Count,People,0,Male,20-39 years,Killed Or Seriously Injured
S12000023,2011,Count,People,0,Male,0-19 years,Killed Or Seriously Injured
S12000039,2004,Count,People,5,Male,40-59 years,Killed Or Seriously Injured
S12000014,2011,Count,People,10,Male,40-59 years,Killed Or Seriously Injured
S12000014,2011,Count,People,2,Male,0-19 years,Killed Or Seriously Injured
S12000013,2011,Count,People,0,Male,40-59 years,Killed Or Seriously Injured
S12000013,2011,Count,People,2,Male,20-39 years,Killed Or Seriously Injured
S12000014,2011,Count,People,10,Male,20-39 years,Killed Or Seriously Injured
S12000020,2011,Count,People,7,Male,40-59 years,Killed Or Seriously Injured
S12000020,2011,Count,People,7,Male,20-39 years,Killed Or Seriously Injured
S12000036,2004,Count,People,25,Male,40-59 years,Killed Or Seriously Injured
S12000019,2011,Count,People,4,Male,20-39 years,Killed Or Seriously Injured
S12000039,2004,Count,People,10,Male,0-19 years,Killed Or Seriously Injured
S12000019,2011,Count,People,5,Male,40-59 years,Killed Or Seriously Injured
S12000017,2011,Count,People,9,Male,0-19 years,Killed Or Seriously Injured
S12000034,2004,Count,People,45,Male,20-39 years,Killed Or Seriously Injured
S12000005,2018,Count,People,1,Male,60 years and over,Killed Or Seriously Injured
S12000027,2011,Count,People,1,Male,40-59 years,Killed Or Seriously Injured
S12000027,2011,Count,People,1,Male,20-39 years,Killed Or Seriously Injured
S12000027,2011,Count,People,0,Male,0-19 years,Killed Or Seriously Injured
S12000038,2004,Count,People,12,Male,40-59 years,Killed Or Seriously Injured
S12000017,2011,Count,People,31,Male,40-59 years,Killed Or Seriously Injured
