area_code,reference_area,area_type,year,business_demography,measure_type,value,units
S12000050,North Lanarkshire,Local Authority,2005,Registrations,Count,810,Registrations
S12000030,Stirling,Local Authority,2017,De-Registrations,Count,445,De-Registrations
S12000029,South Lanarkshire,Local Authority,2017,De-Registrations,Count,1015,De-Registrations
S12000039,West Dunbartonshire,Local Authority,2017,De-Registrations,Count,225,De-Registrations
S12000050,North Lanarkshire,Local Authority,2011,Registrations,Count,815,Registrations
S12000050,North Lanarkshire,Local Authority,2010,Registrations,Count,800,Registrations
S12000050,North Lanarkshire,Local Authority,2013,Registrations,Count,1090,Registrations
S12000050,North Lanarkshire,Local Authority,2012,Registrations,Count,850,Registrations
S12000050,North Lanarkshire,Local Authority,2008,Registrations,Count,810,Registrations
S12000050,North Lanarkshire,Local Authority,2007,Registrations,Count,920,Registrations
S12000050,North Lanarkshire,Local Authority,2009,Registrations,Count,760,Registrations
S12000049,Glasgow City,Local Authority,2007,De-Registrations,Count,1680,De-Registrations
S12000049,Glasgow City,Local Authority,2006,De-Registrations,Count,1810,De-Registrations
S12000049,Glasgow City,Local Authority,2009,De-Registrations,Count,2235,De-Registrations
S12000049,Glasgow City,Local Authority,2008,De-Registrations,Count,1835,De-Registrations
S12000049,Glasgow City,Local Authority,2016,Registrations,Count,3290,Registrations
S12000049,Glasgow City,Local Authority,2015,Registrations,Count,3185,Registrations
S12000049,Glasgow City,Local Authority,2005,De-Registrations,Count,1915,De-Registrations
S12000049,Glasgow City,Local Authority,2004,De-Registrations,Count,2150,De-Registrations
S12000049,Glasgow City,Local Authority,2014,De-Registrations,Count,2345,De-Registrations
S12000049,Glasgow City,Local Authority,2013,De-Registrations,Count,2165,De-Registrations
S12000049,Glasgow City,Local Authority,2016,De-Registrations,Count,2820,De-Registrations
S12000049,Glasgow City,Local Authority,2015,De-Registrations,Count,2705,De-Registrations
S12000049,Glasgow City,Local Authority,2011,De-Registrations,Count,2095,De-Registrations
S12000049,Glasgow City,Local Authority,2010,De-Registrations,Count,2235,De-Registrations
S12000049,Glasgow City,Local Authority,2012,De-Registrations,Count,2630,De-Registrations
S12000049,Glasgow City,Local Authority,2005,Registrations,Count,2170,Registrations
S12000049,Glasgow City,Local Authority,2004,Registrations,Count,1780,Registrations
S12000049,Glasgow City,Local Authority,2007,Registrations,Count,2185,Registrations
S12000049,Glasgow City,Local Authority,2006,Registrations,Count,1825,Registrations
S12000050,North Lanarkshire,Local Authority,2017,Registrations,Count,1120,Registrations
S12000050,North Lanarkshire,Local Authority,2016,De-Registrations,Count,915,De-Registrations
S12000050,North Lanarkshire,Local Authority,2017,De-Registrations,Count,1010,De-Registrations
S12000049,Glasgow City,Local Authority,2012,Registrations,Count,2300,Registrations
S12000049,Glasgow City,Local Authority,2011,Registrations,Count,2220,Registrations
S12000049,Glasgow City,Local Authority,2014,Registrations,Count,2880,Registrations
S12000049,Glasgow City,Local Authority,2013,Registrations,Count,2830,Registrations
S12000049,Glasgow City,Local Authority,2009,Registrations,Count,1950,Registrations
S12000049,Glasgow City,Local Authority,2008,Registrations,Count,2075,Registrations
S12000049,Glasgow City,Local Authority,2010,Registrations,Count,2145,Registrations
S12000013,Na h-Eileanan Siar,Local Authority,2017,Registrations,Count,90,Registrations
S12000020,Moray,Local Authority,2017,Registrations,Count,315,Registrations
S12000023,Orkney Islands,Local Authority,2017,Registrations,Count,75,Registrations
S12000021,North Ayrshire,Local Authority,2017,Registrations,Count,405,Registrations
S12000017,Highland,Local Authority,2017,Registrations,Count,905,Registrations
S12000047,Fife,Local Authority,2017,Registrations,Count,1350,Registrations
S12000019,Midlothian,Local Authority,2017,Registrations,Count,280,Registrations
S12000018,Inverclyde,Local Authority,2017,Registrations,Count,215,Registrations
S12000028,South Ayrshire,Local Authority,2017,Registrations,Count,400,Registrations
S12000027,Shetland Islands,Local Authority,2017,Registrations,Count,90,Registrations
S12000030,Stirling,Local Authority,2017,Registrations,Count,380,Registrations
S12000029,South Lanarkshire,Local Authority,2017,Registrations,Count,1165,Registrations
S12000038,Renfrewshire,Local Authority,2017,Registrations,Count,650,Registrations
S12000048,Perth and Kinross,Local Authority,2017,Registrations,Count,545,Registrations
S12000026,Scottish Borders,Local Authority,2017,Registrations,Count,325,Registrations
S12000035,Argyll and Bute,Local Authority,2017,Registrations,Count,270,Registrations
S12000041,Angus,Local Authority,2017,Registrations,Count,370,Registrations
S12000005,Clackmannanshire,Local Authority,2017,Registrations,Count,150,Registrations
S12000036,City of Edinburgh,Local Authority,2017,Registrations,Count,2640,Registrations
S12000033,Aberdeen City,Local Authority,2017,Registrations,Count,1945,Registrations
S12000034,Aberdeenshire,Local Authority,2017,Registrations,Count,1125,Registrations
S12000010,East Lothian,Local Authority,2017,Registrations,Count,360,Registrations
S12000045,East Dunbartonshire,Local Authority,2017,Registrations,Count,370,Registrations
S12000014,Falkirk,Local Authority,2017,Registrations,Count,480,Registrations
S12000011,East Renfrewshire,Local Authority,2017,Registrations,Count,330,Registrations
S12000042,Dundee City,Local Authority,2017,Registrations,Count,460,Registrations
S12000006,Dumfries and Galloway,Local Authority,2017,Registrations,Count,350,Registrations
S12000008,East Ayrshire,Local Authority,2017,Registrations,Count,420,Registrations
S12000019,Midlothian,Local Authority,2017,De-Registrations,Count,230,De-Registrations
S12000018,Inverclyde,Local Authority,2017,De-Registrations,Count,200,De-Registrations
S12000013,Na h-Eileanan Siar,Local Authority,2017,De-Registrations,Count,85,De-Registrations
S12000020,Moray,Local Authority,2017,De-Registrations,Count,270,De-Registrations
S12000014,Falkirk,Local Authority,2017,De-Registrations,Count,470,De-Registrations
S12000011,East Renfrewshire,Local Authority,2017,De-Registrations,Count,335,De-Registrations
S12000017,Highland,Local Authority,2017,De-Registrations,Count,925,De-Registrations
S12000047,Fife,Local Authority,2017,De-Registrations,Count,1165,De-Registrations
S12000026,Scottish Borders,Local Authority,2017,De-Registrations,Count,375,De-Registrations
S12000038,Renfrewshire,Local Authority,2017,De-Registrations,Count,595,De-Registrations
S12000028,South Ayrshire,Local Authority,2017,De-Registrations,Count,430,De-Registrations
S12000027,Shetland Islands,Local Authority,2017,De-Registrations,Count,90,De-Registrations
S12000023,Orkney Islands,Local Authority,2017,De-Registrations,Count,60,De-Registrations
S12000021,North Ayrshire,Local Authority,2017,De-Registrations,Count,385,De-Registrations
S12000048,Perth and Kinross,Local Authority,2017,De-Registrations,Count,520,De-Registrations
S12000034,Aberdeenshire,Local Authority,2017,De-Registrations,Count,1200,De-Registrations
S12000033,Aberdeen City,Local Authority,2017,De-Registrations,Count,1640,De-Registrations
S12000035,Argyll and Bute,Local Authority,2017,De-Registrations,Count,315,De-Registrations
S12000041,Angus,Local Authority,2017,De-Registrations,Count,365,De-Registrations
S12000040,West Lothian,Local Authority,2017,Registrations,Count,620,Registrations
S12000039,West Dunbartonshire,Local Authority,2017,Registrations,Count,260,Registrations
S12000008,East Ayrshire,Local Authority,2017,De-Registrations,Count,370,De-Registrations
S12000042,Dundee City,Local Authority,2017,De-Registrations,Count,450,De-Registrations
S12000010,East Lothian,Local Authority,2017,De-Registrations,Count,290,De-Registrations
S12000045,East Dunbartonshire,Local Authority,2017,De-Registrations,Count,350,De-Registrations
S12000005,Clackmannanshire,Local Authority,2017,De-Registrations,Count,150,De-Registrations
S12000036,City of Edinburgh,Local Authority,2017,De-Registrations,Count,2495,De-Registrations
S12000006,Dumfries and Galloway,Local Authority,2017,De-Registrations,Count,390,De-Registrations
S12000020,Moray,Local Authority,2014,De-Registrations,Count,215,De-Registrations
S12000013,Na h-Eileanan Siar,Local Authority,2014,De-Registrations,Count,65,De-Registrations
S12000018,Inverclyde,Local Authority,2014,De-Registrations,Count,160,De-Registrations
S12000019,Midlothian,Local Authority,2014,De-Registrations,Count,200,De-Registrations
S12000048,Perth and Kinross,Local Authority,2014,De-Registrations,Count,480,De-Registrations
S12000038,Renfrewshire,Local Authority,2014,De-Registrations,Count,450,De-Registrations
S12000021,North Ayrshire,Local Authority,2014,De-Registrations,Count,305,De-Registrations
S12000023,Orkney Islands,Local Authority,2014,De-Registrations,Count,50,De-Registrations
S12000010,East Lothian,Local Authority,2014,De-Registrations,Count,260,De-Registrations
S12000011,East Renfrewshire,Local Authority,2014,De-Registrations,Count,245,De-Registrations
S12000008,East Ayrshire,Local Authority,2014,De-Registrations,Count,270,De-Registrations
S12000045,East Dunbartonshire,Local Authority,2014,De-Registrations,Count,315,De-Registrations
S12000047,Fife,Local Authority,2014,De-Registrations,Count,860,De-Registrations
S12000017,Highland,Local Authority,2014,De-Registrations,Count,740,De-Registrations
S12000014,Falkirk,Local Authority,2014,De-Registrations,Count,360,De-Registrations
S12000034,Aberdeenshire,Local Authority,2015,De-Registrations,Count,1030,De-Registrations
S12000041,Angus,Local Authority,2015,De-Registrations,Count,320,De-Registrations
S12000033,Aberdeen City,Local Authority,2015,De-Registrations,Count,1230,De-Registrations
S12000036,City of Edinburgh,Local Authority,2015,De-Registrations,Count,2295,De-Registrations
S12000005,Clackmannanshire,Local Authority,2015,De-Registrations,Count,145,De-Registrations
S12000035,Argyll and Bute,Local Authority,2015,De-Registrations,Count,270,De-Registrations
S12000028,South Ayrshire,Local Authority,2014,De-Registrations,Count,295,De-Registrations
S12000029,South Lanarkshire,Local Authority,2014,De-Registrations,Count,830,De-Registrations
S12000026,Scottish Borders,Local Authority,2014,De-Registrations,Count,350,De-Registrations
S12000027,Shetland Islands,Local Authority,2014,De-Registrations,Count,70,De-Registrations
S12000039,West Dunbartonshire,Local Authority,2014,De-Registrations,Count,200,De-Registrations
S12000040,West Lothian,Local Authority,2014,De-Registrations,Count,435,De-Registrations
S12000030,Stirling,Local Authority,2014,De-Registrations,Count,310,De-Registrations
S12000021,North Ayrshire,Local Authority,2013,De-Registrations,Count,285,De-Registrations
S12000023,Orkney Islands,Local Authority,2013,De-Registrations,Count,40,De-Registrations
S12000020,Moray,Local Authority,2013,De-Registrations,Count,220,De-Registrations
S12000013,Na h-Eileanan Siar,Local Authority,2013,De-Registrations,Count,65,De-Registrations
S12000026,Scottish Borders,Local Authority,2013,De-Registrations,Count,320,De-Registrations
S12000027,Shetland Islands,Local Authority,2013,De-Registrations,Count,70,De-Registrations
S12000048,Perth and Kinross,Local Authority,2013,De-Registrations,Count,465,De-Registrations
S12000038,Renfrewshire,Local Authority,2013,De-Registrations,Count,440,De-Registrations
S12000014,Falkirk,Local Authority,2013,De-Registrations,Count,365,De-Registrations
S12000047,Fife,Local Authority,2013,De-Registrations,Count,800,De-Registrations
S12000010,East Lothian,Local Authority,2013,De-Registrations,Count,260,De-Registrations
S12000011,East Renfrewshire,Local Authority,2013,De-Registrations,Count,240,De-Registrations
S12000018,Inverclyde,Local Authority,2013,De-Registrations,Count,170,De-Registrations
S12000019,Midlothian,Local Authority,2013,De-Registrations,Count,185,De-Registrations
S12000017,Highland,Local Authority,2013,De-Registrations,Count,710,De-Registrations
S12000035,Argyll and Bute,Local Authority,2014,De-Registrations,Count,250,De-Registrations
S12000036,City of Edinburgh,Local Authority,2014,De-Registrations,Count,1855,De-Registrations
S12000034,Aberdeenshire,Local Authority,2014,De-Registrations,Count,890,De-Registrations
