area_code,reference_area,area_type,year,gender,working_pattern,population_group,measure_type,value,units
S12000010,East Lothian,Local Authority,2004,All,Part Time,Residence Based,Median,155.6,Pounds (GBP)
S12000029,South Lanarkshire,Local Authority,2006,All,All Patterns,Residence Based,Median,358.4,Pounds (GBP)
S12000030,Stirling,Local Authority,2009,All,All Patterns,Residence Based,Mean,578.2,Pounds (GBP)
S12000014,Falkirk,Local Authority,2000,All,Part Time,Workplace Based,Median,111.2,Pounds (GBP)
S12000017,Highland,Local Authority,2005,All,All Patterns,Residence Based,Median,304,Pounds (GBP)
S12000047,Fife,Local Authority,2004,All,Part Time,Workplace Based,Median,124.2,Pounds (GBP)
S12000017,Highland,Local Authority,1999,All,All Patterns,Workplace Based,Mean,291.7,Pounds (GBP)
S12000017,Highland,Local Authority,2004,All,Part Time,Workplace Based,Median,133,Pounds (GBP)
S12000042,Dundee City,Local Authority,2003,All,Part Time,Residence Based,Mean,127.6,Pounds (GBP)
S12000034,Aberdeenshire,Local Authority,2000,All,All Patterns,Workplace Based,Median,247.8,Pounds (GBP)
S12000033,Aberdeen City,Local Authority,2014,All,Part Time,Workplace Based,Mean,215.1,Pounds (GBP)
S12000028,South Ayrshire,Local Authority,2012,All,All Patterns,Workplace Based,Median,369.8,Pounds (GBP)
S12000042,Dundee City,Local Authority,2004,All,All Patterns,Residence Based,Median,287.8,Pounds (GBP)
S12000011,East Renfrewshire,Local Authority,2000,All,Part Time,Workplace Based,Median,114.5,Pounds (GBP)
S12000005,Clackmannanshire,Local Authority,2010,All,All Patterns,Residence Based,Median,379.1,Pounds (GBP)
S12000014,Falkirk,Local Authority,2005,All,Part Time,Workplace Based,Mean,173.2,Pounds (GBP)
S12000018,Inverclyde,Local Authority,1999,All,All Patterns,Workplace Based,Mean,283.2,Pounds (GBP)
S12000014,Falkirk,Local Authority,2005,All,Part Time,Workplace Based,Median,132,Pounds (GBP)
S12000011,East Renfrewshire,Local Authority,2003,All,Part Time,Residence Based,Median,161.2,Pounds (GBP)
S12000045,East Dunbartonshire,Local Authority,2002,All,Part Time,Workplace Based,Mean,159.3,Pounds (GBP)
S12000010,East Lothian,Local Authority,2002,All,Part Time,Workplace Based,Mean,129.3,Pounds (GBP)
S12000005,Clackmannanshire,Local Authority,2003,All,Part Time,Residence Based,Median,116.6,Pounds (GBP)
S12000008,East Ayrshire,Local Authority,2004,All,Part Time,Workplace Based,Median,104.1,Pounds (GBP)
S12000005,Clackmannanshire,Local Authority,2009,All,All Patterns,Residence Based,Mean,409.8,Pounds (GBP)
S12000042,Dundee City,Local Authority,2003,All,Part Time,Residence Based,Median,106.5,Pounds (GBP)
S12000028,South Ayrshire,Local Authority,2006,All,All Patterns,Residence Based,Median,384.5,Pounds (GBP)
S12000011,East Renfrewshire,Local Authority,2002,All,Part Time,Workplace Based,Mean,136.7,Pounds (GBP)
S12000018,Inverclyde,Local Authority,2004,All,Part Time,Workplace Based,Mean,156.8,Pounds (GBP)
S12000011,East Renfrewshire,Local Authority,2003,All,Part Time,Residence Based,Mean,201.7,Pounds (GBP)
S12000023,Orkney Islands,Local Authority,2001,All,Part Time,Workplace Based,Median,127.5,Pounds (GBP)
S12000010,East Lothian,Local Authority,2003,All,Part Time,Residence Based,Mean,146.6,Pounds (GBP)
S12000042,Dundee City,Local Authority,2001,All,All Patterns,Workplace Based,Mean,327.5,Pounds (GBP)
S12000036,City of Edinburgh,Local Authority,2002,All,Part Time,Workplace Based,Median,129.5,Pounds (GBP)
S12000036,City of Edinburgh,Local Authority,2002,All,Part Time,Workplace Based,Mean,164.9,Pounds (GBP)
S12000017,Highland,Local Authority,1999,All,Part Time,Workplace Based,Mean,136.7,Pounds (GBP)
S12000021,North Ayrshire,Local Authority,2001,All,Part Time,Workplace Based,Median,112.8,Pounds (GBP)
S12000038,Renfrewshire,Local Authority,2002,All,All Patterns,Residence Based,Median,301,Pounds (GBP)
S12000005,Clackmannanshire,Local Authority,2002,All,Part Time,Workplace Based,Mean,125.9,Pounds (GBP)
