FeatureCode,DateCode,Measurement,Units,Value,Business Demography
S12000020,2017,Count,De-Registrations,270,De-Registrations
S12000014,2017,Count,De-Registrations,470,De-Registrations
S12000011,2017,Count,De-Registrations,335,De-Registrations
S12000017,2017,Count,De-Registrations,925,De-Registrations
S12000047,2017,Count,De-Registrations,1165,De-Registrations
S12000026,2017,Count,De-Registrations,375,De-Registrations
S12000038,2017,Count,De-Registrations,595,De-Registrations
S12000028,2017,Count,De-Registrations,430,De-Registrations
S12000027,2017,Count,De-Registrations,90,De-Registrations
S12000023,2017,Count,De-Registrations,60,De-Registrations
S12000021,2017,Count,De-Registrations,385,De-Registrations
S12000048,2017,Count,De-Registrations,520,De-Registrations
S12000034,2017,Count,De-Registrations,1200,De-Registrations
S12000033,2017,Count,De-Registrations,1640,De-Registrations
S12000035,2017,Count,De-Registrations,315,De-Registrations
S12000041,2017,Count,De-Registrations,365,De-Registrations
S12000040,2017,Count,Registrations,620,Registrations
S12000039,2017,Count,Registrations,260,Registrations
S92000003,2017,Count,De-Registrations,20340,De-Registrations
S12000008,2017,Count,De-Registrations,370,De-Registrations
S12000042,2017,Count,De-Registrations,450,De-Registrations
S12000010,2017,Count,De-Registrations,290,De-Registrations
S12000045,2017,Count,De-Registrations,350,De-Registrations
S12000005,2017,Count,De-Registrations,150,De-Registrations
S12000036,2017,Count,De-Registrations,2495,De-Registrations
S12000006,2017,Count,De-Registrations,390,De-Registrations
S12000020,2014,Count,De-Registrations,215,De-Registrations
S12000013,2014,Count,De-Registrations,65,De-Registrations
S12000018,2014,Count,De-Registrations,160,De-Registrations
S12000019,2014,Count,De-Registrations,200,De-Registrations
S12000048,2014,Count,De-Registrations,480,De-Registrations
S12000038,2014,Count,De-Registrations,450,De-Registrations
S12000021,2014,Count,De-Registrations,305,De-Registrations
S12000023,2014,Count,De-Registrations,50,De-Registrations
S12000010,2014,Count,De-Registrations,260,De-Registrations
S12000011,2014,Count,De-Registrations,245,De-Registrations
S12000008,2014,Count,De-Registrations,270,De-Registrations
S12000045,2014,Count,De-Registrations,315,De-Registrations
S12000047,2014,Count,De-Registrations,860,De-Registrations
S12000017,2014,Count,De-Registrations,740,De-Registrations
S12000014,2014,Count,De-Registrations,360,De-Registrations
S12000034,2015,Count,De-Registrations,1030,De-Registrations
S12000041,2015,Count,De-Registrations,320,De-Registrations
S92000003,2015,Count,De-Registrations,18260,De-Registrations
S12000033,2015,Count,De-Registrations,1230,De-Registrations
S12000036,2015,Count,De-Registrations,2295,De-Registrations
S12000005,2015,Count,De-Registrations,145,De-Registrations
S12000035,2015,Count,De-Registrations,270,De-Registrations
S12000028,2014,Count,De-Registrations,295,De-Registrations
S12000029,2014,Count,De-Registrations,830,De-Registrations
S12000026,2014,Count,De-Registrations,350,De-Registrations
S12000027,2014,Count,De-Registrations,70,De-Registrations
S12000039,2014,Count,De-Registrations,200,De-Registrations
S12000040,2014,Count,De-Registrations,435,De-Registrations
S12000030,2014,Count,De-Registrations,310,De-Registrations
S12000021,2013,Count,De-Registrations,285,De-Registrations
S12000023,2013,Count,De-Registrations,40,De-Registrations
S12000020,2013,Count,De-Registrations,220,De-Registrations
S12000013,2013,Count,De-Registrations,65,De-Registrations
S12000026,2013,Count,De-Registrations,320,De-Registrations
S12000027,2013,Count,De-Registrations,70,De-Registrations
S12000048,2013,Count,De-Registrations,465,De-Registrations
S12000038,2013,Count,De-Registrations,440,De-Registrations
S12000014,2013,Count,De-Registrations,365,De-Registrations
S12000047,2013,Count,De-Registrations,800,De-Registrations
S12000010,2013,Count,De-Registrations,260,De-Registrations
S12000011,2013,Count,De-Registrations,240,De-Registrations
S12000018,2013,Count,De-Registrations,170,De-Registrations
S12000019,2013,Count,De-Registrations,185,De-Registrations
S12000017,2013,Count,De-Registrations,710,De-Registrations
S12000035,2014,Count,De-Registrations,250,De-Registrations
S12000036,2014,Count,De-Registrations,1855,De-Registrations
S12000034,2014,Count,De-Registrations,890,De-Registrations
S12000041,2014,Count,De-Registrations,280,De-Registrations
S12000006,2014,Count,De-Registrations,365,De-Registrations
S12000042,2014,Count,De-Registrations,385,De-Registrations
S12000005,2014,Count,De-Registrations,115,De-Registrations
S12000030,2013,Count,De-Registrations,280,De-Registrations
S12000039,2013,Count,De-Registrations,170,De-Registrations
S12000028,2013,Count,De-Registrations,305,De-Registrations
S12000029,2013,Count,De-Registrations,845,De-Registrations
S92000003,2014,Count,De-Registrations,15615,De-Registrations
S12000033,2014,Count,De-Registrations,880,De-Registrations
S12000040,2013,Count,De-Registrations,395,De-Registrations
S12000014,2016,Count,De-Registrations,440,De-Registrations
S12000047,2016,Count,De-Registrations,1000,De-Registrations
S12000010,2016,Count,De-Registrations,285,De-Registrations
S12000011,2016,Count,De-Registrations,280,De-Registrations
S12000019,2016,Count,De-Registrations,220,De-Registrations
S12000020,2016,Count,De-Registrations,280,De-Registrations
S12000017,2016,Count,De-Registrations,925,De-Registrations
S12000018,2016,Count,De-Registrations,210,De-Registrations
S12000005,2016,Count,De-Registrations,135,De-Registrations
S12000006,2016,Count,De-Registrations,370,De-Registrations
S12000035,2016,Count,De-Registrations,270,De-Registrations
S12000036,2016,Count,De-Registrations,2230,De-Registrations
S12000008,2016,Count,De-Registrations,295,De-Registrations
S12000045,2016,Count,De-Registrations,305,De-Registrations
S12000042,2016,Count,De-Registrations,425,De-Registrations
S12000030,2016,Count,De-Registrations,350,De-Registrations
S12000039,2016,Count,De-Registrations,235,De-Registrations
S12000028,2016,Count,De-Registrations,350,De-Registrations
S12000029,2016,Count,De-Registrations,985,De-Registrations
S12000049,2017,Count,De-Registrations,2935,De-Registrations
S12000049,2017,Count,Registrations,3105,Registrations
S12000040,2016,Count,De-Registrations,525,De-Registrations
S12000023,2016,Count,De-Registrations,65,De-Registrations
S12000048,2016,Count,De-Registrations,460,De-Registrations
S12000013,2016,Count,De-Registrations,75,De-Registrations
S12000021,2016,Count,De-Registrations,355,De-Registrations
S12000026,2016,Count,De-Registrations,340,De-Registrations
S12000027,2016,Count,De-Registrations,65,De-Registrations
S12000038,2016,Count,De-Registrations,575,De-Registrations
S12000018,2015,Count,De-Registrations,205,De-Registrations
S12000019,2015,Count,De-Registrations,235,De-Registrations
S12000047,2015,Count,De-Registrations,985,De-Registrations
S12000017,2015,Count,De-Registrations,865,De-Registrations
S12000013,2015,Count,De-Registrations,100,De-Registrations
S12000021,2015,Count,De-Registrations,345,De-Registrations
S12000020,2015,Count,De-Registrations,235,De-Registrations
S12000008,2015,Count,De-Registrations,310,De-Registrations
S12000045,2015,Count,De-Registrations,315,De-Registrations
S12000006,2015,Count,De-Registrations,390,De-Registrations
S12000042,2015,Count,De-Registrations,450,De-Registrations
S12000011,2015,Count,De-Registrations,325,De-Registrations
S12000014,2015,Count,De-Registrations,435,De-Registrations
S12000010,2015,Count,De-Registrations,270,De-Registrations
S12000040,2015,Count,De-Registrations,475,De-Registrations
S92000003,2016,Count,De-Registrations,18880,De-Registrations
S12000030,2015,Count,De-Registrations,355,De-Registrations
S12000039,2015,Count,De-Registrations,220,De-Registrations
S12000034,2016,Count,De-Registrations,1215,De-Registrations
S12000041,2016,Count,De-Registrations,380,De-Registrations
S12000033,2016,Count,De-Registrations,1500,De-Registrations
S12000038,2015,Count,De-Registrations,565,De-Registrations
S12000026,2015,Count,De-Registrations,385,De-Registrations
S12000023,2015,Count,De-Registrations,65,De-Registrations
S12000048,2015,Count,De-Registrations,505,De-Registrations
S12000028,2015,Count,De-Registrations,330,De-Registrations
S12000029,2015,Count,De-Registrations,915,De-Registrations
S12000027,2015,Count,De-Registrations,70,De-Registrations
S12000030,2008,Count,Registrations,400,Registrations
S12000039,2008,Count,Registrations,180,Registrations
S12000028,2008,Count,Registrations,320,Registrations
S12000029,2008,Count,Registrations,875,Registrations
S12000033,2009,Count,Registrations,790,Registrations
S12000034,2009,Count,Registrations,820,Registrations
S12000040,2008,Count,Registrations,505,Registrations
S92000003,2009,Count,Registrations,14725,Registrations
S12000023,2008,Count,Registrations,55,Registrations
S12000048,2008,Count,Registrations,475,Registrations
S12000013,2008,Count,Registrations,90,Registrations
S12000021,2008,Count,Registrations,335,Registrations
S12000026,2008,Count,Registrations,375,Registrations
S12000027,2008,Count,Registrations,50,Registrations
S12000038,2008,Count,Registrations,475,Registrations
S12000011,2009,Count,Registrations,260,Registrations
S12000014,2009,Count,Registrations,345,Registrations
S12000045,2009,Count,Registrations,275,Registrations
S12000010,2009,Count,Registrations,265,Registrations
S12000017,2009,Count,Registrations,750,Registrations
S12000018,2009,Count,Registrations,160,Registrations
S12000047,2009,Count,Registrations,865,Registrations
S12000036,2009,Count,Registrations,1745,Registrations
S12000005,2009,Count,Registrations,105,Registrations
S12000041,2009,Count,Registrations,265,Registrations
S12000035,2009,Count,Registrations,245,Registrations
S12000042,2009,Count,Registrations,325,Registrations
S12000008,2009,Count,Registrations,255,Registrations
S12000006,2009,Count,Registrations,345,Registrations
S12000040,2007,Count,Registrations,525,Registrations
S92000003,2008,Count,Registrations,16225,Registrations
S12000030,2007,Count,Registrations,390,Registrations
S12000039,2007,Count,Registrations,215,Registrations
S12000041,2008,Count,Registrations,315,Registrations
S12000035,2008,Count,Registrations,275,Registrations
S12000033,2008,Count,Registrations,935,Registrations
S12000034,2008,Count,Registrations,1045,Registrations
S12000038,2007,Count,Registrations,530,Registrations
S12000026,2007,Count,Registrations,420,Registrations
S12000023,2007,Count,Registrations,65,Registrations
S12000048,2007,Count,Registrations,520,Registrations
S12000028,2007,Count,Registrations,365,Registrations
S12000029,2007,Count,Registrations,985,Registrations
S12000027,2007,Count,Registrations,60,Registrations
S12000047,2008,Count,Registrations,980,Registrations
S12000017,2008,Count,Registrations,855,Registrations
S12000011,2008,Count,Registrations,265,Registrations
S12000014,2008,Count,Registrations,400,Registrations
S12000019,2008,Count,Registrations,165,Registrations
S12000020,2008,Count,Registrations,245,Registrations
S12000018,2008,Count,Registrations,175,Registrations
S12000006,2008,Count,Registrations,375,Registrations
S12000042,2008,Count,Registrations,325,Registrations
S12000036,2008,Count,Registrations,1845,Registrations
S12000005,2008,Count,Registrations,135,Registrations
S12000045,2008,Count,Registrations,310,Registrations
S12000010,2008,Count,Registrations,275,Registrations
S12000008,2008,Count,Registrations,285,Registrations
S12000026,2010,Count,Registrations,315,Registrations
S12000027,2010,Count,Registrations,50,Registrations
S12000048,2010,Count,Registrations,420,Registrations
S12000038,2010,Count,Registrations,475,Registrations
S12000030,2010,Count,Registrations,355,Registrations
S12000039,2010,Count,Registrations,185,Registrations
S12000028,2010,Count,Registrations,280,Registrations
