area_code,reference_area,area_type,reference_period,indicator,value,units
S12000026,Scottish Borders,Local Authority,2010/2011,Waste Arisings (Tonnes),67749,Tonnes
S12000026,Scottish Borders,Local Authority,2010/2011,Waste Arisings Per Capita (Kg),600,Kg Per Capita
S12000026,Scottish Borders,Local Authority,2009/2010,Waste Arisings (Tonnes),70498,Tonnes
S12000047,Fife,Local Authority,2009/2010,Waste Arisings (Tonnes),246424,Tonnes
S12000045,East Dunbartonshire,Local Authority,2011/2012,Waste Arisings (Tonnes),61988,Tonnes
S12000047,Fife,Local Authority,2008/2009,Waste Arisings (Tonnes),247823,Tonnes
S12000023,Orkney Islands,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),749,Kg Per Capita
S12000023,Orkney Islands,Local Authority,2009/2010,Waste Arisings (Tonnes),15354,Tonnes
S12000023,Orkney Islands,Local Authority,2006/2007,Waste Arisings Per Capita (Kg),749,Kg Per Capita
S12000021,North Ayrshire,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),26.3,ktonnes
S12000021,North Ayrshire,Local Authority,2008/2009,Waste Arisings (Tonnes),87963,Tonnes
S12000047,Fife,Local Authority,2004/2005,Waste Arisings (Tonnes),247977,Tonnes
S12000021,North Ayrshire,Local Authority,2010/2011,Waste Arisings (Tonnes),84483,Tonnes
S12000021,North Ayrshire,Local Authority,2009/2010,Waste Arisings (Tonnes),85518,Tonnes
S12000021,North Ayrshire,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),29.3,ktonnes
S12000021,North Ayrshire,Local Authority,2010/2011,Waste Arisings Per Capita (Kg),625,Kg Per Capita
S12000021,North Ayrshire,Local Authority,2004/2005,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),37.6,ktonnes
S12000021,North Ayrshire,Local Authority,2006/2007,Waste Arisings (Tonnes),87541,Tonnes
S12000047,Fife,Local Authority,2006/2007,Waste Arisings (Tonnes),254135,Tonnes
S12000047,Fife,Local Authority,2007/2008,Waste Arisings (Tonnes),252077,Tonnes
S12000021,North Ayrshire,Local Authority,2011/2012,Waste Arisings (Tonnes),80282,Tonnes
S12000023,Orkney Islands,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),0.9,ktonnes
S12000023,Orkney Islands,Local Authority,2004/2005,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),1.1,ktonnes
S12000023,Orkney Islands,Local Authority,2010/2011,Waste Arisings Per Capita (Kg),776,Kg Per Capita
S12000023,Orkney Islands,Local Authority,2008/2009,Waste Arisings (Tonnes),14776,Tonnes
S12000023,Orkney Islands,Local Authority,2009/2010,Waste Arisings Per Capita (Kg),769,Kg Per Capita
S12000023,Orkney Islands,Local Authority,2008/2009,Waste Arisings Per Capita (Kg),743,Kg Per Capita
S12000021,North Ayrshire,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),37.5,ktonnes
S12000021,North Ayrshire,Local Authority,2008/2009,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),32.8,ktonnes
S12000021,North Ayrshire,Local Authority,2006/2007,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),38,ktonnes
